layer,expert_id,expert_stratum,budget_bpw,invocations,requests,recovery_p10,recovery_median,recovery_p90,benefit_retention_median,physical_bpw_median,logical_bpw_median,page_amplification_median,relative_output_error_median
0,238,hot,1.5,8,5,0.9635024277064098,0.9818600125263083,0.9906458083636327,0.9868088473772816,1.5,0.66412353515625,2.25862234796673,0.0696648396551609
0,238,hot,2.0,8,5,0.9740918404061328,0.9875230712996157,0.9946099722989311,0.9921984122530985,2.0,0.809173583984375,2.4231958729223813,0.060212183743715286
0,238,hot,2.5,8,5,0.9785635217988682,0.9900284584500831,0.9955733587292308,0.9947157902910602,2.5,1.0317281087239585,2.4231190166322354,0.04995718225836754
0,238,hot,3.0,8,5,0.9794232821994753,0.9917383165528701,0.9958028533656057,0.9964338732817041,3.0,1.1421305338541667,2.5420161187942174,0.047620682045817375
0,248,cold,0.5,4,4,0.5335939209419169,0.6097842228395631,0.714321205386037,0.6180085758416825,0.5,0.21925862630208331,2.280413245096063,0.32732951641082764
0,248,cold,1.0,4,4,0.6582177201301864,0.8315268945403231,0.9293989215033569,0.8427072104852644,1.0,0.366729736328125,2.726816134258563,0.23197417706251144
0,248,cold,1.5,4,4,0.7415069628339067,0.8751464971087729,0.9625082286924398,0.8869532350926876,1.5,0.590179443359375,2.54159987665353,0.18224823102355003
0,248,cold,2.0,4,4,0.7933549979469068,0.895139307303914,0.9751850138202742,0.907294271140396,2.0,0.77215576171875,2.5961869301578955,0.15833918750286102
0,248,cold,2.5,4,4,0.8415475974598291,0.9130490034641705,0.9811131122976225,0.9255345498953855,2.5,0.9594319661458333,2.6057181722541483,0.1444503553211689
0,248,cold,3.0,4,4,0.8735973206391079,0.9339854040774085,0.9843313517319349,0.9406646914273697,3.0,1.1394246419270833,2.6355402409430537,0.11923087015748024
0,252,hot,0.5,8,4,0.9256571508126247,0.951759987600407,0.9786474353787301,0.9546840641824126,0.5,0.220367431640625,2.268937941118425,0.15247736126184464
0,252,hot,1.0,8,4,0.9638517285623168,0.9801010960631178,0.9903186665291176,0.9833084733770439,1.0,0.36693318684895837,2.4973389325022195,0.08669069036841393
0,252,hot,1.5,8,4,0.9805365163308848,0.9903440764295035,0.9947857764218366,0.9922964056304313,1.5,0.5878499348958333,2.5516716303838676,0.06591195240616798
0,252,hot,2.0,8,4,0.985593943393867,0.9923854156716083,0.997297936089026,0.9951144483680605,2.0,0.735504150390625,2.7188870973412893,0.05268229730427265
0,252,hot,2.5,8,4,0.9861021386681199,0.9940831692542209,0.9976278685352615,0.9969200260307238,2.5,0.9180501302083333,2.615394913834659,0.04568446800112724
0,252,hot,3.0,8,4,0.9917538731685354,0.994508113913572,0.9976679796044905,0.9979014944678407,3.0,1.0303853352864583,2.814360221111463,0.041856711730360985
4,28,hot,0.5,8,3,0.4474966379738771,0.5914982077176856,0.6773450202699536,0.5930590747006887,0.5,0.21895345052083331,2.28359043042094,0.3979927897453308
4,28,hot,1.0,8,3,0.6307565981983736,0.7555417041271383,0.8497079865367132,0.7575324122071716,1.0,0.44157918294270837,2.2645995370596506,0.30511780083179474
4,28,hot,1.5,8,3,0.7237446991188335,0.8323655577630155,0.8948865349134344,0.834559451890625,1.5,0.624481201171875,2.4109855957550774,0.26092463731765747
4,28,hot,2.0,8,3,0.7736620064492967,0.8760219311413472,0.9241240548463753,0.8783352974489146,2.0,0.7653706868489583,2.618350233275304,0.22616438567638397
4,28,hot,2.5,8,3,0.8222319999992962,0.9092473367450378,0.9415335671678247,0.9114732283481146,2.5,0.9521993001302084,2.620741171757947,0.20793945342302322
4,28,hot,3.0,8,3,0.8469228936046652,0.9258432863214675,0.9568043774670101,0.927864438655342,3.0,1.0989481608072915,2.706124838604656,0.18098293244838715
4,36,median,0.5,4,3,0.36843164634122627,0.47871921467086037,0.5217795411190532,0.4808839460825027,0.5,0.220733642578125,2.265345371797695,0.4228244870901108
4,36,median,1.0,4,3,0.5545115625590643,0.6017530778007241,0.6482383291329226,0.6057404390302552,1.0,0.40435791015625,2.4940625736642166,0.36780717968940735
4,36,median,1.5,4,3,0.6921299348340471,0.7045051440216824,0.7775108488378398,0.7075930184292498,1.5,0.6251220703125,2.408908092978595,0.3130664527416229
4,36,median,2.0,4,3,0.7361781502201825,0.7572781631027001,0.8498230794027568,0.7605892225943474,2.0,0.730865478515625,2.736551545597625,0.27450379729270935
4,36,median,2.5,4,3,0.8005673886349527,0.8194713528037512,0.8840829811642374,0.8237205271931185,2.5,0.8324788411458333,3.0090455142562575,0.25574447214603424
4,36,median,3.0,4,3,0.8311320355720206,0.8607178544088474,0.9018606316217305,0.864497323430569,3.0,0.9825846354166667,3.057810480061414,0.21981440484523773
4,82,median,0.5,7,3,0.4249782609470066,0.5109438310531921,0.6367019312515688,0.5140293522277597,0.5,0.21895345052083334,2.28359041070433,0.4296724498271942
4,82,median,1.0,7,3,0.6704407768248295,0.7223743600378605,0.8607458701973655,0.7249166528286164,1.0,0.3641357421875,2.7462286288970836,0.28892675042152405
4,82,median,1.5,7,3,0.7716328168529228,0.8288670331037534,0.8905522965535339,0.8321707201404467,1.5,0.58642578125,2.5578684429641965,0.2538084089756012
4,82,median,2.0,7,3,0.8201313859154405,0.8843360259313614,0.9112592895058728,0.8874483195393644,2.0,0.8055013020833334,2.4829258436047685,0.22638779878616333
4,82,median,2.5,7,3,0.848070229719927,0.912967471725494,0.933391597808555,0.9192806464827448,2.5,1.0250447591145833,2.438917888970486,0.20176789164543152
4,82,median,3.0,7,3,0.8665402095102479,0.932213055226871,0.9438032053498749,0.9354938451619229,3.0,1.17633056640625,2.5503035334405646,0.1765289455652237
4,111,cold,0.5,1,1,0.5576035402724524,0.5576035402724524,0.5576035402724524,0.562779211329236,0.5,0.22265625,2.245614035087719,0.48765692114830017
4,111,cold,1.0,1,1,0.6810276950581599,0.6810276950581599,0.6810276950581599,0.6873489880120359,1.0,0.3637491861979167,2.749147044018122,0.3595160245895386
4,111,cold,1.5,1,1,0.7522624414938146,0.7522624414938146,0.7522624414938146,0.7592449347248342,1.25,0.4379679361979167,2.854090212291541,0.33207443356513977
4,111,cold,2.0,1,1,0.8016351029128437,0.8016351029128437,0.8016351029128437,0.8090758727440763,2.0,0.8832804361979166,2.264286536911206,0.28467798233032227
4,111,cold,2.5,1,1,0.8311459029431814,0.8311459029431814,0.8311459029431814,0.8388605917554609,2.5,1.1801554361979167,2.1183650249107866,0.28119003772735596
4,111,cold,3.0,1,1,0.8351908388443683,0.8351908388443683,0.8351908388443683,0.8429430727153827,3.0,1.4770304361979167,2.0311023567817736,0.2798631489276886
4,129,hot,0.5,8,8,0.3860651594139755,0.5500501755165845,0.6421490295569338,0.5511811045395663,0.5,0.22084554036458331,2.264178000267248,0.38181860744953156
4,129,hot,1.0,8,8,0.6335053955553334,0.7142198741244037,0.8353916484945382,0.7169211795779322,1.0,0.44153849283854163,2.264808203022198,0.30046240985393524
4,129,hot,1.5,8,8,0.7566969829384994,0.8131315161475001,0.8875330134374062,0.8168371667670331,1.5,0.58807373046875,2.55072754660438,0.2590656131505966
4,129,hot,2.0,8,8,0.8027589342857425,0.8813009754601726,0.9349814206931522,0.8852839282091476,2.0,0.7330423990885416,2.7283674429936267,0.21596207469701767
4,129,hot,2.5,8,8,0.8577057204268814,0.9141008567449435,0.9542910890373285,0.9182212471411567,2.5,0.9510904947916667,2.6285628813602693,0.18076495081186295
4,129,hot,3.0,8,8,0.8989741113696785,0.934452043435753,0.965396899000494,0.9386877431329004,3.0,1.13238525390625,2.6514197645175717,0.1597844436764717
4,134,hot,0.5,8,2,0.41122127249249885,0.6322507524801313,0.7393959377198084,0.6345471517217995,0.5,0.218902587890625,2.284121014273172,0.3648121505975723
4,134,hot,1.0,8,2,0.6611062145638683,0.8003760808666012,0.8679259145963802,0.8021279932490514,1.0,0.3656005859375,2.735280950159355,0.28180597722530365
4,134,hot,1.5,8,2,0.770387226185413,0.8535147929644452,0.8981237466211506,0.8550322989114276,1.5,0.5419820149739584,2.7804196554344687,0.2618334889411926
4,134,hot,2.0,8,2,0.8104338820187057,0.8897058127913218,0.9246359735894649,0.8921125084439936,2.0,0.72772216796875,2.7483017072018256,0.21986308693885803
4,134,hot,2.5,8,2,0.8476170590301285,0.9168812168557168,0.9399396046572267,0.9201405923199533,2.5,0.9118754069010416,2.643949816724756,0.18460221588611603
4,134,hot,3.0,8,2,0.8977474253097375,0.9285140576528795,0.951219862815537,0.9318167171584474,3.0,1.1327616373697915,2.6507553108315896,0.16807769238948822
4,143,cold,0.5,1,1,0.4217206812734846,0.4217206812734846,0.4217206812734846,0.42376796471321065,0.5,0.22265625,2.245614035087719,0.4975321590900421
4,143,cold,1.0,1,1,0.6893482207360961,0.6893482207360961,0.6893482207360961,0.6926947276995582,1.0,0.4416097005208333,2.264443011148991,0.36818727850914
4,143,cold,1.5,1,1,0.783078176029282,0.783078176029282,0.783078176029282,0.7868797040381871,1.5,0.6642659505208334,2.2581316998468606,0.3263531029224396
4,143,cold,2.0,1,1,0.8301742844489339,0.8301742844489339,0.8301742844489339,0.8342044450270361,2.0,0.8056640625,2.4824242424242424,0.2728118896484375
4,143,cold,2.5,1,1,0.8540838586517483,0.8540838586517483,0.8540838586517483,0.8582300905478814,2.5,0.87078857421875,2.8709609588561014,0.2621634304523468
4,143,cold,3.0,1,1,0.8945427224424147,0.8945427224424147,0.8945427224424147,0.898885365767977,3.0,1.0283203125,2.9173789173789175,0.232146754860878
4,154,hot,0.5,8,6,0.5237297945871351,0.6039587279160632,0.6829358519168036,0.6059885819393402,0.5,0.21954345703125,2.2774535116490413,0.3268640339374542
4,154,hot,1.0,8,6,0.7726093156208598,0.8270802081995685,0.8807336529171669,0.8307380279918248,1.0,0.40480550130208337,2.4908894029799598,0.2278795912861824
4,154,hot,1.5,8,6,0.8535991725799172,0.8800588914269658,0.9471034618924784,0.8839123780447335,1.5,0.626495361328125,2.4023120165482643,0.1896597445011139
4,154,hot,2.0,8,6,0.8860021263696608,0.9210058626815602,0.9612916991045508,0.9227870890592662,2.0,0.8079020182291667,2.4755695804345024,0.16277677565813065
4,154,hot,2.5,8,6,0.918745130050199,0.9430729902801546,0.9694233327888522,0.9448968177305918,2.5,0.9912109375,2.5263951600079078,0.14524121582508087
4,154,hot,3.0,8,6,0.9310802731527468,0.9518171007119232,0.9784524412198256,0.9540126381969471,3.0,1.2495625813802083,2.4008481928508862,0.13545295596122742
4,190,median,0.5,6,3,0.4442350851259528,0.6614527143752584,0.7408622050388614,0.6633655036339408,0.5,0.21888224283854169,2.2843333227756712,0.3023262768983841
4,190,median,1.0,6,3,0.6782703352171983,0.8277224854250691,0.8783433786993743,0.8298064452294307,1.0,0.36541748046875,2.736669329374759,0.22856582701206207
4,190,median,1.5,6,3,0.7622474267568244,0.8742512589526342,0.9188695598956471,0.8767790929483029,1.5,0.5881144205729167,2.5505482717941925,0.20013975352048874
4,190,median,2.0,6,3,0.8542481343400148,0.9105469927271488,0.9498295399633723,0.9131818893622698,2.0,0.73095703125,2.7361391162505653,0.16057655960321426
4,190,median,2.5,6,3,0.8938106837302713,0.9320380571988602,0.9595114527637362,0.9347445633497898,2.375,0.8406473795572917,2.8004815085701873,0.15865808725357056
4,190,median,3.0,6,3,0.9131634966448927,0.9424662875692997,0.9692928659607736,0.945445086485764,3.0,1.1376851399739583,2.640567555070274,0.14350752532482147
4,193,median,0.5,8,6,0.4679317016813547,0.525432722843866,0.5785726281113331,0.529667528933947,0.5,0.21905517578125,2.2825299526330456,0.3972068130970001
4,193,median,1.0,8,6,0.6759109417668019,0.7638992092294707,0.8178863763307902,0.76601521869365,1.0,0.36759440104166663,2.7203901724648754,0.2705104947090149
4,193,median,1.5,8,6,0.7921424594187253,0.860248323616106,0.8805328950853476,0.8636298972786236,1.5,0.587249755859375,2.554279479018276,0.23659811913967133
4,193,median,2.0,8,6,0.8322122191055396,0.9039819592634122,0.9203142307724679,0.9071730554301234,2.0,0.76922607421875,2.60600137212666,0.21132729947566986
4,193,median,2.5,8,6,0.865406403977129,0.9234338863950984,0.9420648390254537,0.9270632186454031,2.5,0.9538370768229167,2.6209940623718344,0.1866631805896759
4,193,median,3.0,8,6,0.8933095299766519,0.9326527546821338,0.9430965708222364,0.9352230539412618,3.0,1.1705322265625,2.5629520915236466,0.16622141003608704
20,30,cold,0.5,1,1,0.4719205827760159,0.4719205827760159,0.4719205827760159,0.4751919921516107,0.5,0.218994140625,2.2831661092530657,0.4189009964466095
20,30,cold,1.0,1,1,0.7337857001493961,0.7337857001493961,0.7337857001493961,0.7388723895347697,1.0,0.3636881510416667,2.749608413515328,0.32169467210769653
20,30,cold,1.5,1,1,0.8552491440800832,0.8552491440800832,0.8552491440800832,0.8611778324453053,1.5,0.5826416015625,2.5744814582023885,0.2641550898551941
20,30,cold,2.0,1,1,0.8758502615081767,0.8758502615081767,0.8758502615081767,0.8819217592594729,2.0,0.7310791015625,2.7356820838203375,0.2515147030353546
20,30,cold,2.5,1,1,0.8888727822033666,0.8888727822033666,0.8888727822033666,0.8950345536105512,2.5,0.9537353515625,2.621272238576731,0.22148799896240234
20,30,cold,3.0,1,1,0.9077117558939781,0.9077117558939781,0.9077117558939781,0.9140041212981345,3.0,1.1728108723958333,2.55795718696874,0.20624801516532898
20,44,median,0.5,3,2,0.476952198113033,0.6843208427439151,0.6875513270146174,0.6861123291193258,0.5,0.21889241536458334,2.2842271586578677,0.4567205309867859
20,44,median,1.0,3,2,0.6311885055172524,0.7800209253512453,0.8029368530668562,0.7819295591416512,1.0,0.3675130208333333,2.720992028343667,0.33845841884613037
20,44,median,1.5,3,2,0.6895930630662517,0.8188031685425035,0.8459397360269006,0.8208066986330171,1.5,0.5159505208333334,2.907255520504732,0.31449761986732483
20,44,median,2.0,3,2,0.763573343918994,0.8798268354131105,0.8798385020278561,0.8819943033123465,2.0,0.7241617838541666,2.761813788840816,0.2679450809955597
20,44,median,2.5,3,2,0.8161784547650123,0.9068380776337749,0.9068997776538025,0.9091343341520419,2.5,1.0210367838541667,2.4484916112063124,0.24499519169330597
20,44,median,3.0,3,2,0.8680400786670222,0.9182916762193014,0.9222696203566746,0.9205386448142674,3.0,1.0880533854166667,2.757217651458489,0.24269136786460876
20,45,median,0.5,1,1,0.5548472892905889,0.5548472892905889,0.5548472892905889,0.5562507977160358,0.5,0.2188720703125,2.2844394868934748,0.434705525636673
20,45,median,1.0,1,1,0.6893984927049355,0.6893984927049355,0.6893984927049355,0.6911423537846911,1.0,0.3673095703125,2.722499169159189,0.3802228569984436
20,45,median,1.5,1,1,0.7795174492839372,0.7795174492839372,0.7795174492839372,0.7814892698712771,1.5,0.5157470703125,2.908402366863905,0.3613375127315521
20,45,median,2.0,1,1,0.8123815448274325,0.8123815448274325,0.8123815448274325,0.8144364964598009,2.0,0.7384033203125,2.708546867250785,0.328849196434021
20,45,median,2.5,1,1,0.8628177257039372,0.8628177257039372,0.8628177257039372,0.8650002576744885,2.5,0.9572347005208334,2.6116896918172157,0.26804256439208984
20,45,median,3.0,1,1,0.8880406648399795,0.8880406648399795,0.8880406648399795,0.8902869992445973,3.0,1.1056722005208333,2.713281566260626,0.2561132609844208
20,72,hot,0.5,8,1,0.3875943710045186,0.5008021220684127,0.6752603910484908,0.5035363608524027,0.5,0.220733642578125,2.265345371797695,0.4290841519832611
20,72,hot,1.0,8,1,0.5302841880843296,0.725714142004461,0.7972359216045832,0.7296055909149497,1.0,0.3638203938802083,2.748611315303058,0.33544160425662994
20,72,hot,1.5,8,1,0.6822862350884298,0.8002242757897071,0.872073245150143,0.8045239102478038,1.5,0.5847981770833334,2.5650179031548284,0.27963539958000183
20,72,hot,2.0,8,1,0.7437417909223853,0.8604253252264559,0.9062342963581516,0.8637068536085237,2.0,0.7700703938802083,2.601581527917036,0.2544596642255783
20,72,hot,2.5,8,1,0.7880755362779206,0.8934022789966958,0.939319146537336,0.8982157010917768,2.5,0.9874674479166667,2.534722631399318,0.23147491365671158
20,72,hot,3.0,8,1,0.8476481756793552,0.912158361370002,0.955856698540959,0.9170705219254869,3.0,1.097137451171875,2.734395029060658,0.20235136896371841
20,142,median,0.5,3,2,0.4649790015579805,0.5144187069620088,0.7112203699972678,0.516590144224418,0.5,0.14471435546875,3.455082243778996,0.5321196913719177
20,142,median,1.0,3,2,0.6927629977511305,0.7001974701828226,0.8299258698437468,0.7031531070156641,1.0,0.3673299153645833,2.7223483799501524,0.40974918007850647
20,142,median,1.5,3,2,0.7814859796246494,0.784278187392996,0.8839794238953448,0.789940749812676,1.5,0.5119832356770834,2.929783429366183,0.35409092903137207
20,142,median,2.0,3,2,0.8157401257532557,0.8464658346263108,0.9078566964704984,0.850038891806752,2.0,0.7245279947916666,2.7604178366842635,0.3197627067565918
20,142,median,2.5,3,2,0.8443753400812364,0.8785548872094803,0.9309838577081121,0.8822633970154801,2.5,0.8795166015625,2.842470506592644,0.2954607903957367
20,142,median,3.0,3,2,0.8487143723016595,0.9002500483115958,0.9426193799382844,0.9040501365936378,3.0,1.021240234375,2.8638016220751377,0.2673661708831787
20,148,hot,0.5,8,1,0.3083274241209081,0.5864389969518756,0.6419404887518507,0.5889099357295908,0.5,0.22095743815104169,2.263013011790867,0.41763967275619507
20,148,hot,1.0,8,1,0.5617807204766083,0.7222053748011377,0.7930202163188615,0.7243870784860418,1.0,0.40439860026041663,2.489694348355783,0.3800210505723953
20,148,hot,1.5,8,1,0.6955585236871092,0.7466911480182166,0.8385298170829286,0.7486194748497051,1.5,0.5883890787760416,2.5493513555338074,0.30153587460517883
20,148,hot,2.0,8,1,0.779303228049769,0.8200849261858115,0.8833883214601582,0.8236239686346385,2.0,0.7368062337239583,2.7144296570806383,0.2717128247022629
20,148,hot,2.5,8,1,0.8364053079398635,0.8712136290987526,0.9122699300820536,0.8744285931654912,2.5,0.8812154134114584,2.83700262058378,0.2264845073223114
20,148,hot,3.0,8,1,0.8729041498283409,0.8963795489612825,0.9308406568960305,0.8991548275192134,3.0,1.0986429850260415,2.7306414225137603,0.20883896201848984
20,232,hot,0.5,8,4,0.4798305918103926,0.5448847099619969,0.5812870754633324,0.5466172383892216,0.5,0.21883138020833331,2.2848643408058598,0.44388335943222046
20,232,hot,1.0,8,4,0.6270076283664555,0.7079553295273562,0.7555697489530071,0.7100015420362117,1.0,0.3672281901041667,2.7231024930747925,0.36623501777648926
